"protein_abundance_name","sample_id","replicate","timepoint","treatment"
"LFQ.intensity.metast_cSCC1.raw.thermo.raw","LFQ.intensity.metast_cSCC1",1,1,"metast"
"LFQ.intensity.metast_cSCC10.raw.thermo.raw","LFQ.intensity.metast_cSCC10",1,1,"metast"
"LFQ.intensity.metast_cSCC11.raw.thermo.raw","LFQ.intensity.metast_cSCC11",1,1,"metast"
"LFQ.intensity.metast_cSCC12.raw.thermo.raw","LFQ.intensity.metast_cSCC12",1,1,"metast"
"LFQ.intensity.metast_cSCC13.raw.thermo.raw","LFQ.intensity.metast_cSCC13",1,1,"metast"
"LFQ.intensity.metast_cSCC2.raw.thermo.raw","LFQ.intensity.metast_cSCC2",1,1,"metast"
"LFQ.intensity.metast_cSCC3.raw.thermo.raw","LFQ.intensity.metast_cSCC3",1,1,"metast"
"LFQ.intensity.metast_cSCC4.raw.thermo.raw","LFQ.intensity.metast_cSCC4",1,1,"metast"
"LFQ.intensity.metast_cSCC5.raw.thermo.raw","LFQ.intensity.metast_cSCC5",1,1,"metast"
"LFQ.intensity.metast_cSCC6.raw.thermo.raw","LFQ.intensity.metast_cSCC6",1,1,"metast"
"LFQ.intensity.metast_cSCC7.raw.thermo.raw","LFQ.intensity.metast_cSCC7",1,1,"metast"
"LFQ.intensity.metast_cSCC8.raw.thermo.raw","LFQ.intensity.metast_cSCC8",1,1,"metast"
"LFQ.intensity.metast_cSCC9.raw.thermo.raw","LFQ.intensity.metast_cSCC9",1,1,"metast"
"LFQ.intensity.RDEB_cSCC1.raw.thermo.raw","LFQ.intensity.RDEB_cSCC1",1,1,"RDEB"
"LFQ.intensity.RDEB_cSCC2.raw.thermo.raw","LFQ.intensity.RDEB_cSCC2",1,1,"RDEB"
"LFQ.intensity.RDEB_cSCC3.raw.thermo.raw","LFQ.intensity.RDEB_cSCC3",1,1,"RDEB"
"LFQ.intensity.RDEB_cSCC4.raw.thermo.raw","LFQ.intensity.RDEB_cSCC4",1,1,"RDEB"
"LFQ.intensity.RDEB_cSCC5.raw.thermo.raw","LFQ.intensity.RDEB_cSCC5",1,1,"RDEB"
"LFQ.intensity.RDEB_cSCC6.raw.thermo.raw","LFQ.intensity.RDEB_cSCC6",1,1,"RDEB"
